name,categories,image_urls,local_path
a man in a red jacket is standing in a snowy field,"mongolia,ölgii,Landscape images & pictures,People images & pictures,walking,human,photo,photography,Nature images,outdoors,Hd sky wallpapers,horizon,land,tundra,Hd scenery wallpapers,Hd snow wallpapers,Backgrounds",https://images.unsplash.com/photo-1711124478481-09eb00111938?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,D:\GeekBrains\DATA ENGINEER\Сбор и разметка данных\Conda_projects\Seminar_6\unsplash\images\a man in a red jacket is standing in a snowy field.jpg
a car is parked in the middle of the desert,"spain,Car images & pictures,europe,Desert images,vehicle,automobile,landmark,badlands national park,mammal,wildlife,Animals images & pictures,Elephant images & pictures,outdoors,Nature images,Free images",https://images.unsplash.com/photo-1711116178390-b01368ed353d?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,D:\GeekBrains\DATA ENGINEER\Сбор и разметка данных\Conda_projects\Seminar_6\unsplash\images\a car is parked in the middle of the desert.jpg
a view of a mountain range with snow on it,"Landscape images & pictures,1960s,slide scan,film photo,35mm,Vintage backgrounds,yosemite national park,peak,Mountain images & pictures,outdoors,Nature images,mountain range,Hd scenery wallpapers,Tree images & pictures,ice,vegetation,Shark images & pictures,land,Hd forest wallpapers,Hd snow wallpapers,Free images",https://images.unsplash.com/photo-1711449100676-999e21a11427?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,D:\GeekBrains\DATA ENGINEER\Сбор и разметка данных\Conda_projects\Seminar_6\unsplash\images\a view of a mountain range with snow on it.jpg
a view of a snowy mountain with trees in the foreground,"canada,quebec,outdoors,Nature images,Hd grey wallpapers,Hd snow wallpapers,full hd wallpaper,Mountain images & pictures,Winter images & pictures,Landscape images & pictures,Nature backgrounds,Hd phone wallpapers,snowing mountains,Hd forest wallpapers,land,Tree images & pictures,woodland,vegetation,aerial view,Hd sky wallpapers,Free stock photos",https://images.unsplash.com/photo-1709705412674-68b8f1431852?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,D:\GeekBrains\DATA ENGINEER\Сбор и разметка данных\Conda_projects\Seminar_6\unsplash\images\a view of a snowy mountain with trees in the foreground.jpg
a woman sitting on a wooden bench next to a body of water,"blue sky,frozen lake,Girls photos & images,Winter images & pictures,rocky mountains,Travel images,sitting,human,People images & pictures,Hd scenery wallpapers,outdoors,Nature images,man,adult,male,fun,vacation,lakefront,Creative Commons images",https://images.unsplash.com/photo-1706908432418-03d7600fbb3a?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,D:\GeekBrains\DATA ENGINEER\Сбор и разметка данных\Conda_projects\Seminar_6\unsplash\images\a woman sitting on a wooden bench next to a body of water.jpg
a tall building with balconies and balconies on the balconies,"balcony view,Hd city wallpapers,town,apartment building,high rise,urban,building,housing,condo,balcony,handrail,banister,Backgrounds",https://images.unsplash.com/photo-1710674293279-962ca4a5be7a?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,D:\GeekBrains\DATA ENGINEER\Сбор и разметка данных\Conda_projects\Seminar_6\unsplash\images\a tall building with balconies and balconies on the balconies.jpg
the sun is setting over a hill with a person on it,"griffith park,usa,ca,sunrise,girl training,trail running,girl running,running,Hd sky wallpapers,Nature images,outdoors,Sun images & pictures,horizon,Hd scenery wallpapers,People images & pictures,human,vegetation,Landscape images & pictures,Free pictures",https://images.unsplash.com/photo-1711598850151-f6248961419e?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,D:\GeekBrains\DATA ENGINEER\Сбор и разметка данных\Conda_projects\Seminar_6\unsplash\images\the sun is setting over a hill with a person on it.jpg
a snow covered mountain with trees in the foreground,"Tree images & pictures,abies,fir,vegetation,Nature images,Hd forest wallpapers,land,outdoors,woodland,Hd scenery wallpapers,mountain range,Mountain images & pictures,peak,conifer,slope,pine,Hd snow wallpapers,Free pictures",https://images.unsplash.com/photo-1711374630104-dca6e0149245?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,D:\GeekBrains\DATA ENGINEER\Сбор и разметка данных\Conda_projects\Seminar_6\unsplash\images\a snow covered mountain with trees in the foreground.jpg
a woman in a white dress is walking down a narrow alleyway,"fl,miami,usa,alley,Women images & pictures,tropic,Tree images & pictures,Hd tropical wallpapers,tropics,tunnel,tuscan,vacation,vibe,vibes,vice,walkway,Hd white wallpapers,wind,young,chairs,Public domain images",https://images.unsplash.com/photo-1711555803385-584e8fcdccf8?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,D:\GeekBrains\DATA ENGINEER\Сбор и разметка данных\Conda_projects\Seminar_6\unsplash\images\a woman in a white dress is walking down a narrow alleyway.jpg
an aerial view of a city with a mountain in the background,"zürich,schweiz,Hd city wallpapers,town,friesenberg,tiergarten,wiedikon,after the snowfall,winter morning,morning,Hd snow wallpapers,snowycity,winterinthecity,zurich,Winter images & pictures,building,cityscape,apartment building,high rise,aerial view,Backgrounds",https://images.unsplash.com/photo-1701592559853-188818cb385e?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,D:\GeekBrains\DATA ENGINEER\Сбор и разметка данных\Conda_projects\Seminar_6\unsplash\images\an aerial view of a city with a mountain in the background.jpg
an aerial view of a city with tall buildings,"hong kong,cityscape,dji mini 3,drone,china,shine,dji,urban,building,town,Hd city wallpapers,outdoors,aerial view,Nature images,HD Wallpapers",https://images.unsplash.com/photo-1711383230426-1de085ab1c89?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,D:\GeekBrains\DATA ENGINEER\Сбор и разметка данных\Conda_projects\Seminar_6\unsplash\images\an aerial view of a city with tall buildings.jpg
